Wall time,Step,Value
1675706025.903404,1,0.7125999927520752
1675706114.2897956,2,0.7843999862670898
1675706203.299683,3,0.8025000095367432
1675706293.180048,4,0.8130000233650208
1675706382.3418877,5,0.8190000057220459
1675706471.8187292,6,0.8256000280380249
1675706561.312386,7,0.8251000046730042
1675706651.2683887,8,0.8296999931335449
1675706740.662963,9,0.8337000012397766
1675706831.238525,10,0.8313999772071838
1675706921.8536425,11,0.8356000185012817
1675707012.129868,12,0.8357999920845032
1675707102.563677,13,0.8361999988555908
1675707193.1157181,14,0.8367999792098999
1675707284.2367272,15,0.8346999883651733
1675707374.6972382,16,0.8363999724388123
1675707465.0191252,17,0.8335000276565552
1675707555.3844352,18,0.8337000012397766
1675707646.1976812,19,0.8331999778747559
1675707736.15688,20,0.8321999907493591
1675707825.747932,21,0.8313000202178955
1675707915.5755343,22,0.8277000188827515
1675708005.5926328,23,0.8273000121116638
1675708095.7634838,24,0.8259999752044678
1675708185.6486843,25,0.8260999917984009
1675708275.9865165,26,0.824999988079071
1675708367.208919,27,0.8227999806404114
1675708458.045808,28,0.8241000175476074
1675708547.286083,29,0.8198999762535095
1675708638.2571115,30,0.8176000118255615
1675708729.0696561,31,0.8173999786376953
1675708820.0131097,32,0.8152999877929688
1675708910.1734383,33,0.8129000067710876
1675709000.0265124,34,0.8108999729156494
1675709090.1214993,35,0.8072999715805054
1675709179.5096612,36,0.8032000064849854
1675709270.2818592,37,0.8065999746322632
1675709360.1390877,38,0.7998999953269958
1675709450.6149058,39,0.7997999787330627
1675709540.5374036,40,0.7972000241279602
1675709630.6089752,41,0.7946000099182129
1675709722.0244007,42,0.7961000204086304
1675709812.615649,43,0.7950999736785889
1675709902.827397,44,0.7912999987602234
1675709992.7648957,45,0.7893000245094299
1675710083.0067601,46,0.7888000011444092
1675710172.9209807,47,0.7858999967575073
1675710263.4771147,48,0.7894999980926514
1675710354.3333695,49,0.7809000015258789
1675710445.079084,50,0.7791000008583069
1675710536.1240828,51,0.78329998254776
1675710626.36366,52,0.7721999883651733
1675710716.9927616,53,0.7764000296592712
1675710807.3498046,54,0.7760000228881836
1675710897.9073465,55,0.7710999846458435
1675710988.485894,56,0.7735000252723694
1675711079.1733835,57,0.7754999995231628
1675711170.0661862,58,0.7659000158309937
1675711260.8596723,59,0.7688000202178955
1675711351.6878352,60,0.7670999765396118
1675711441.4431248,61,0.7684000134468079
1675711532.342792,62,0.7580999732017517
1675711621.9939294,63,0.7603999972343445
1675711712.249108,64,0.7567999958992004
1675711802.8142314,65,0.7587000131607056
1675711893.2071626,66,0.7560999989509583
1675711984.4890518,67,0.7470999956130981
1675712075.7519062,68,0.7531999945640564
1675712165.963951,69,0.7491999864578247
1675712256.0163717,70,0.75
1675712346.486294,71,0.7490000128746033
1675712436.7163372,72,0.7484999895095825
1675712527.0524614,73,0.7405999898910522
1675712617.3807328,74,0.7394999861717224
1675712707.9430213,75,0.7394999861717224
1675712797.929762,76,0.7419000267982483
1675712888.6421425,77,0.7390999794006348
1675712978.4312675,78,0.7414000034332275
1675713068.2823546,79,0.7386999726295471
1675713157.7209039,80,0.733299970626831
1675713247.5307233,81,0.7325000166893005
1675713337.9501624,82,0.7307999730110168
1675713428.4372234,83,0.7281000018119812
1675713519.110677,84,0.7271999716758728
1675713609.5205984,85,0.7289999723434448
1675713699.428507,86,0.7281000018119812
1675713789.9176018,87,0.7286999821662903
1675713879.7374437,88,0.7236999869346619
1675713970.498975,89,0.7271999716758728
1675714061.165802,90,0.718999981880188
1675714151.440278,91,0.7224000096321106
1675714242.0500588,92,0.7182999849319458
1675714331.8809195,93,0.7218000292778015
1675714422.8523939,94,0.717199981212616
1675714513.1136978,95,0.7181000113487244
1675714603.282965,96,0.7182999849319458
1675714693.8217287,97,0.7142999768257141
1675714783.8446453,98,0.7111999988555908
1675714874.3691065,99,0.7127000093460083
1675714964.9846826,100,0.7057999968528748
